condition_id_norm,label,drug_set
MONDO:0005276,1,"['CHEBI:10304', 'CHEBI:6759']"
HP:0001259,0,"['CHEBI:10454', 'CHEBI:135214']"
HP:0031273,0,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0000465,0,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0001942,1,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0002009,1,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0004938,1,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0004974,0,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0005570,0,"['CHEBI:10454', 'CHEBI:135214']"
MONDO:0007263,0,"['CHEBI:10454', 'CHEBI:135214']"
NCIT:C78253,0,"['CHEBI:10454', 'CHEBI:135214']"
UMLS:C0027804,1,"['CHEBI:10454', 'CHEBI:135214']"
UMLS:C0236988,1,"['CHEBI:10454', 'CHEBI:135214']"
UMLS:C0542052,0,"['CHEBI:10454', 'CHEBI:135214']"
UMLS:C0860603,1,"['CHEBI:10454', 'CHEBI:135214']"
UMLS:C1998297,0,"['CHEBI:10454', 'CHEBI:135214']"
UMLS:C1740836,1,"['CHEBI:10650', 'CHEBI:7476']"
HP:0002018,1,"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']"
NCIT:C78213,1,"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']"
UMLS:C0001707,1,"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']"
UMLS:C0232574,1,"['CHEBI:107736', 'CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']"
UMLS:C0267167,1,"['CHEBI:107736', 'CHEBI:31459', 'CHEBI:31498', 'CHEBI:81916', 'DRUGBANK:DB13281']"
HP:0002017,1,"['CHEBI:107736', 'CHEBI:31498']"
HP:0033589,1,"['CHEBI:107736', 'CHEBI:31498']"
UMLS:C0267167,1,"['CHEBI:107736', 'CHEBI:31498', 'CHEBI:81916']"
HP:0012735,1,"['CHEBI:113556', 'CHEBI:4470', 'CHEBI:52010']"
MONDO:0002258,1,"['CHEBI:113556', 'CHEBI:4470', 'CHEBI:52010']"
